ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
"112055","Kathryn Jane ""Kathy"" Smallwood-Cook","F",24,180,64,"Great Britain","GBR","1984 Summer",1984,"Summer","Los Angeles","Athletics","Athletics Women's 4 x 100 metres Relay","Bronze"
"112207","Calvin Smith","M",23,178,69,"United States","USA","1984 Summer",1984,"Summer","Los Angeles","Athletics","Athletics Men's 4 x 100 metres Relay","Gold"
"112207","Calvin Smith","M",27,178,69,"United States","USA","1988 Summer",1988,"Summer","Seoul","Athletics","Athletics Men's 100 metres","Bronze"
"112238","Finis Dean Smith","M",20,180,72,"United States","USA","1952 Summer",1952,"Summer","Helsinki","Athletics","Athletics Men's 4 x 100 metres Relay","Gold"
"112249","Ethel May Smith (-Stewart)","F",20,165,54,"Canada","CAN","1928 Summer",1928,"Summer","Amsterdam","Athletics","Athletics Women's 100 metres","Bronze"
"112249","Ethel May Smith (-Stewart)","F",20,165,54,"Canada","CAN","1928 Summer",1928,"Summer","Amsterdam","Athletics","Athletics Women's 4 x 100 metres Relay","Gold"
"112269","Owen Guinn Smith","M",28,187,79,"United States","USA","1948 Summer",1948,"Summer","London","Athletics","Athletics Men's Pole Vault","Gold"
"112331","LaMont Smith","M",23,188,73,"United States","USA","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Men's 4 x 400 metres Relay","Gold"
"112368","Phylis J. Smith (-Watt)","F",26,169,62,"Great Britain","GBR","1992 Summer",1992,"Summer","Barcelona","Athletics","Athletics Women's 4 x 400 metres Relay","Bronze"
"112385","Ronetta Jamilah Smith","F",24,168,59,"Jamaica","JAM","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Women's 4 x 400 metres Relay","Bronze"
"112387","Ronald Ray ""Ronnie Ray"" Smith","M",19,173,73,"United States","USA","1968 Summer",1968,"Summer","Mexico City","Athletics","Athletics Men's 4 x 100 metres Relay","Gold"
"112403","James Stephenson ""Steve"" Smith","M",23,185,70,"Great Britain","GBR","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Men's High Jump","Bronze"
